English,Yugara,Yugarabul,Yugambeh,Turubul
"Bird (Generic	 any bird)",Juwanbin,Juwahnduwan,Noangbil,Juwahnduwan
Carpet Snake,Kabul,Kabul,Kabul,Kabul
Crow,Wawal,Wagan,Wagahn,Wowa
Dingo/Wild Dog,Mirri,Mirri,Ngurun,Mirri
Eagle,Juwehrr,Juwehrr,Mibunn,Dibbil
Emu,Nguyi,Ngurun,Murun,Nguyi
"Fish (Generic	 any fish)",Jawan,Guyurr,Jalumm,Kuyur
Horse,Yarraman,Yarraman,Yarraman,Yarraman
Kangaroo,Barrar,Burrar,Muni,Gurooman
Koala,Dumbirrbi,Marrambi,Borobi,Dumbirrbi
Pelican,Bulualum,Bulualum,Chungarra,Bulualum
Possum,Kubbi,Kubbi,Guran,Kubbi
Shark,Powai,Powai,Bowai,Powai
Snake (Black),Bui,Bui,Jomgwong,Tumgu
Sugar Glider,Chibur,Chibur,Jiburr,Chibur
Wallaby,Garril,Garril,Karil,Garril
